id;conference_id;fee_label;from_time;till_time;price;special_to
1;31961;Rubber;2020-02-02T06:23:30;2020-02-01T22:52:10;83775;DISABLE
2;20206;Metal withdrawal Kwanza;2020-02-02T12:58:36;2020-02-02T15:15:09;4609;WOMAN
3;44930;Handmade Steel Gloves purple;2020-02-02T01:07:35;2020-02-02T00:34:13;9000;DISABLE
4;91985;Orchestrator;2020-02-02T15:35:15;2020-02-01T22:48:50;6122;STUDENT
5;30669;Executive;2020-02-02T08:19:23;2020-02-02T15:40:29;15635;VETERAN
6;12475;customer loyalty;2020-02-01T21:19:58;2020-02-02T03:50:34;62375;VETERAN
7;6310;Handmade Rubber Pants calculate;2020-02-02T16:33:10;2020-02-02T04:57:04;61566;DISABLE
8;26453;Mobility connect;2020-02-02T13:14:53;2020-02-02T10:33:58;20283;STUDENT
9;45689;Representative Awesome;2020-02-02T16:23:14;2020-02-02T06:14:00;70335;VETERAN
10;71586;THX;2020-02-02T00:13:16;2020-02-02T04:49:16;10820;WOMAN
