id;name;path;type;status
1;bypass open-source;River quantify Manors;Computers;APPROVED
2;yellow Handmade;Vista;sky blue;IN_REVIEW
3;Intranet Shores Devolved;program generate;Georgia;APPROVED
4;Mozambique;teal front-end;Netherlands 5th generation Ball;REJECTED
5;interactive Usability Program;Home Loan Account;pixel SSL;DRAFT
6;deposit;leading-edge;cross-platform;IN_REVIEW
7;orange;Jewelery technologies Credit Card Account;Gloves invoice Guinea Franc;DRAFT
8;Automated grey;Fantastic Plastic Soap;plum Liaison protocol;APPROVED
9;Connecticut Mouse Global;synthesize Solutions;eyeballs;REJECTED
10;Denmark regional;mobile Tunisia;auxiliary Home Loan Account;APPROVED
