id;place_id;name;country;state;city;district;street;door_no
1;84966;Fantastic Concrete Keyboard;Burkina Faso;Fantastic Concrete Tuna panel Naira;Port Harveystad;payment Path;Johnson Wells;paradigms
2;86251;Tunnel Operative black;Slovenia;Guadeloupe Minnesota Plastic;Port Davinstad;optical Borders;Maria Road;ivory hacking
3;1748;Toys Unbranded Fresh Chips Dominican Peso;British Indian Ocean Territory (Chagos Archipelago);back up Cotton Personal Loan Account;South Stan;Lead Stand-alone;Levi Springs;bandwidth-monitored
4;70189;Cambridgeshire Lempira;Germany;bluetooth feed;Kendraland;Refined Steel Gloves withdrawal;Giles Landing;Refined Granite Computer Ergonomic Web
5;49512;Tenge optical;Costa Rica;Money Market Account;Hiltonfurt;Berkshire;Efrain Run;Organized
6;46391;back-end;British Indian Ocean Territory (Chagos Archipelago);Graphical User Interface withdrawal deposit;West Nedra;Costa Rica metrics users;Loren Forks;Cliffs Home Loan Account Dynamic
7;58384;PNG fresh-thinking aggregate;Barbados;auxiliary Up-sized parsing;Ratkeburgh;needs-based Station;Barrows Islands;applications
8;24840;Bedfordshire Director;San Marino;Montana;New Rigobertobury;Music;Yundt Inlet;syndicate ROI green
9;55542;payment time-frame;Trinidad and Tobago;capability Bacon;West Delphiaberg;Licensed Frozen Computer bypass envisioneer;Mohr Walk;Borders
10;55914;Grocery Lebanon;Norway;Movies Shirt;West Lexie;Electronics incentivize Central;Mariela Haven;Granite SQL European Unit of Account 9(E.U.A.-9)
