id;presenter_id;total_technical_points;average_technical_points;total_speaking_points;average_speaking_points;total_excitement_points;average_excitement_points
1;38860;76406;91485;167;29898;39588;58418
2;8982;51171;52;89242;72812;3745;69365
3;75504;36591;60931;63391;83107;14080;54422
4;6467;99394;58467;63690;8937;27228;42618
5;1148;56123;7674;68804;6962;58703;67850
6;75106;32010;64391;75713;87719;56800;531
7;74864;25682;70202;4889;79814;14342;91542
8;14834;73052;70076;93289;46115;28464;99953
9;36880;86295;36549;8118;1222;70736;1776
10;83028;80423;40242;74359;1901;43676;98971
