id;language;main_topic;sub_topic;status
1;TURKISH;bus deliver Pakistan Rupee;national;IN_REVIEW
2;SPANISH;Tasty Plastic Gloves;Lead Chile User-centric;REJECTED
3;ENGLISH;Interactions Kina plum;Tanzanian Shilling transmitter;APPROVED
4;TURKISH;Refined Wooden Pants engineer;Clothing;IN_REVIEW
5;SPANISH;quantifying Motorway;online;REJECTED
6;FRENCH;back-end;Handcrafted;IN_REVIEW
7;TURKISH;e-markets hack Iranian Rial;vortals cohesive;IN_REVIEW
8;FRENCH;input Automotive;cyan;APPROVED
9;ENGLISH;methodologies Utah;Iowa Metal;APPROVED
10;TURKISH;clicks-and-mortar parse Pizza;exploit Pataca well-modulated;APPROVED
