id;date;total_audience;total_technical_points;average_technical_points;total_speaking_points;average_speaking_points;total_excitement_points;average_excitement_points
1;2020-02-02T11:17:51;1776;45736;92068;61564;58558;98950;91841
2;2020-02-02T06:52:30;10009;20649;19545;60117;70461;65939;57274
3;2020-02-01T22:30:47;54380;94744;51702;38038;99945;95330;20131
4;2020-02-02T09:21:12;67321;69393;47890;55184;72316;95781;32826
5;2020-02-02T01:41:40;2130;53098;18091;77160;7980;24478;46055
6;2020-02-02T18:27:42;45684;8513;3019;14381;88089;36196;90091
7;2020-02-01T20:43:36;34366;23019;12053;24564;86907;24209;80328
8;2020-02-02T17:25:21;80558;74939;37298;40379;56762;52385;51335
9;2020-02-02T08:53:05;47835;20297;86398;98554;83669;1483;72753
10;2020-02-02T12:30:19;92667;5264;31624;60678;96983;96014;15002
