id;category;sub_category;topic_name
1;grid-enabled even-keeled;SMTP Guadeloupe;withdrawal
2;maximized;green standardization;Investment Account Kansas
3;withdrawal;Estate Borders bricks-and-clicks;Agent Mauritius Rupee
4;actuating;Intranet Functionality;CSS Multi-lateral indexing
5;optical;Bedfordshire Personal Loan Account;Interactions
6;Licensed Fresh Keyboard;web-enabled Face to face bandwidth;Rial Omani global
7;Drive Investor;Gloves deposit;Islands Granite Baby
8;Grocery;open-source white Hill;initiatives
9;Wyoming parallelism Practical;quantifying Australia Washington;Chips Bedfordshire
10;methodology;attitude-oriented productize;Assurance Home Loan Account Metal
